artificial_reaction1,Vmax,Km1,Km2
322,99.8182063009907,1.995674241280657,2.988707011614614
323,100.14926618655424,2.015225506765828,2.995261783343989
324,99.79633062345282,1.9986681803030792,2.985414024147275
325,99.82404059958604,2.0019712138101804,2.9845412448745035
326,99.96678619450684,1.9974637297074402,3.0004034152138246
327,99.9271021825284,2.0039449650241905,2.984936512937299
328,99.96424146306224,1.9982174241984467,2.998281643525456
329,99.88377384052619,1.9938967997373698,2.9970578653140185
330,100.02316355718662,2.0040075242763966,2.9962140158853514
331,100.06584898103179,2.0031501030386347,3.0005003262732832
332,99.89438394675739,1.9910618811432335,3.0017582574279276
333,99.94662314378633,2.0035657610864037,2.990980413202594
334,99.92436048295077,1.9963707297564766,2.995226361821065
335,99.98593271779467,2.004928615334863,2.990924465452076
336,100.01018415722625,2.0003100068157225,2.9970762504534076
337,99.92039381566882,1.9967634517207336,2.9955276637743014
338,99.93981926241429,2.000817842840109,2.99153614333551
339,99.84721733016667,1.9993391469685564,2.9855733437653402
340,99.83868023361207,1.9978025121106016,2.988522805354894
341,99.77983472209092,1.9965021528068183,2.9845267659982246
342,99.75906029346037,1.99490706635693,2.9799282139668555
343,99.83909402419992,1.993997531985595,2.9888631882504897
344,100.07105950467853,2.012037175706918,2.9938306159471977
345,99.56425365199051,1.9877484514134967,2.9787697460548848
346,99.90577933720438,1.9965207964689984,2.9952045497006754
347,99.9058198642113,1.9937634093487657,2.9973984488581693
348,99.88220043656068,2.002299350498814,2.9863961774727854
349,99.75038582819313,2.001607675338555,2.976496829918177
350,99.73560047343625,1.996064628757775,2.983584418589924
351,99.73820143427979,1.9919870631302319,2.986860333146797
352,99.82796786250057,2.003747846668926,2.979787457255654
353,99.8872273705618,2.0041882135382645,2.9834741750538383
354,99.88773548634322,1.9994862344394517,2.99033493638164
355,100.00995127481269,1.9936240012779733,3.0008130149114103
356,99.82730834627452,1.996047545779227,2.988346657552508
357,99.76716011129194,1.994966816470289,2.9844761622168776
358,99.7921802317777,2.002826462499353,2.979474118607721
359,100.04154480614523,2.002011334494067,3.0002653703678503
360,99.63774212568799,1.9983256187610239,2.9704362818170833
361,99.85657137495326,2.001548750401438,2.9846329368330125
362,100.06116624303723,2.003740505030563,2.9992793159893094
363,99.71258190809823,1.9983102936104482,2.9748055432535216
364,99.92664488479937,2.0011553525425523,2.9928196625802714
365,99.92053584983935,1.996667644154165,2.9955657350339764
366,99.73383605496738,1.994188377728862,2.9823257741867453
367,99.77553804897369,1.9985397461466965,2.9788848764709517
368,99.7347278711338,1.993550773171032,2.98728970166768
369,99.89762061347851,1.9993607149771906,2.990354157295894
370,99.83097404014048,1.9954078032895428,2.9877434344459712
371,99.89921405430204,2.002653349913436,2.98391811964591
372,99.90832405573016,2.005949741063402,2.9823877461727997
373,99.8126296626653,2.0006189667147742,2.9835464267972824
374,99.9631242292008,2.0006157871411485,2.9949154417404977
375,100.06107441736623,2.002460321121544,3.0018128783475873
376,99.9646234841489,1.9993189139991652,2.995071783833419
377,99.97403430436016,2.002392350018385,2.993634509843481
378,100.06361954144877,2.006783560547954,2.9966282587417603
379,100.04596624854237,1.9958212794917307,3.00810055616078
380,99.9459899811892,2.0026026046544243,2.991491010158496
381,99.84762474729087,2.0025229691007334,2.9826920256185043
382,99.82302492511026,1.9949028901540975,2.98911804466619
383,100.08319601873114,2.0047808327693324,3.0017577665359934
384,99.90018889245762,2.005640549788354,2.983860863492201
385,99.81358957474548,2.003211850616524,2.9813742411845476
386,99.89977161339061,2.002731976416402,2.9887825266504597
387,100.03263661277997,2.005220618124936,2.998005749915126
388,99.85365032199415,2.0001739381503967,2.9907657432536627
389,100.03173228835537,2.0052430066507823,2.9967632762864245
390,99.82717203543724,2.0070102413646147,2.976086217750302
391,100.06995580246436,2.0034690483007327,3.0004819492801986
392,99.87480040566001,1.9986233498203458,2.9918761257193487
393,99.90866512779102,2.000836900032408,2.9920829631503065
394,99.8790550845432,2.0014865253853356,2.9866088553864576
395,99.88154837569856,1.9999618524268166,2.9889925471526504
396,99.97095671380313,2.000966327954705,2.9994857726014534
397,99.8617604519994,2.000893850137661,2.982385895782346
398,99.92746960338748,1.9965901036252407,2.9947850113575907
399,99.80465324136377,2.0002308820110786,2.9790609538386903
400,99.92035913291477,2.003018585782928,2.9890875215462023
401,100.03144025656694,2.0052942038174377,2.9951652511769318
402,99.84760508784136,1.9949487531897276,2.992089814649001
403,99.863112646709,2.000732747639517,2.9847596644709435
404,99.80212080177334,1.9997206409611101,2.9854420829426944
405,99.99114911814492,2.002137185368554,2.995378159384001
406,99.57143989741064,1.990093045601282,2.9724939774817183
407,99.93813103865722,2.0018841563804735,2.9919506233853603
408,99.92817974224604,2.00504791177754,2.98867578073054
409,99.84740610294408,2.000893708955572,2.982568402254236
410,99.85551380388632,2.0007467755369257,2.9890054601566054
411,99.88161760769022,1.99736808565992,2.989974687186054
412,99.84098135934632,1.9911852171511923,2.9960028780675994
413,99.90540948141131,1.9969342301323345,2.9927296516584843
414,99.85151151535146,1.9996657849410442,2.9873816725373836
415,99.86035578816065,1.9941922232890081,2.996860874826371
416,99.86774342860133,1.995059128102276,2.9974856898054476
417,99.91817138200237,1.9927132259016014,2.9970153015544976
418,99.94353146440736,1.9969576735109857,2.995964252888603
419,100.05325052017481,2.0022252195707626,3.0003755387061095
420,99.9189232111607,2.000562648972292,2.9910466754205447
421,99.91771132766526,2.0025649598573914,2.9907923837900947
422,100.05779399140579,2.0079910636496527,2.9945893964047996
423,99.84322627835806,1.9984972079636527,2.9868787515437063
424,100.02457445311856,1.9989698425862326,3.0031205713346556
425,99.94797557243021,2.00200400250782,2.990066933273849
426,99.88119556343224,1.9971187308695961,2.990767136875528
427,100.07848083168264,1.9999201660448804,2.9999943997113347
428,99.9934303941348,2.002483156825356,2.99673019647479
429,99.92323469029165,2.000560931320525,2.990008415312118
430,99.9500870188681,1.995645685538186,3.0029538218934966
431,99.94614441244492,1.9998206439875812,2.9938430305192445
432,99.96262879942107,1.9991039572344576,2.9957799718781617
433,99.91822417826029,2.00549946625253,2.9853400575088456
434,99.80415663246406,2.0040598614871103,2.9810734536714394
435,99.89996394868443,1.9958111539950676,2.9943745291992734
436,99.76554723912672,1.9996239420244584,2.9803900759896202
437,100.035362463169,2.006993731726346,2.993908704295164
438,99.88086220668468,2.0007909243536783,2.9884513527308387
439,99.90126531865215,2.0004746296305664,2.9930000636445193
440,99.94447117655979,1.996821612562317,2.996152440112204
441,99.77331923902963,1.9991784857152257,2.985499474853343
442,99.83998517537862,2.0020443327296835,2.9842876297488097
443,100.03921326090709,1.9991099837826252,3.0010088375368222
444,99.820005763528,1.9988343141580236,2.9889187761028078
445,99.84085756585931,1.9937303378452067,2.9909160260050562
446,99.99421049788076,2.002227721072147,2.9986897658745577
447,99.87561578583907,1.9965602252676864,2.9937307375931455
448,99.84738908491963,1.998948538510403,2.9883046664992756
449,99.96837833571897,2.0026545245741496,2.9914464894002024
450,99.94565689635846,1.9988934733168031,2.992914872351396
451,99.9842564391588,2.003382186947944,2.991996718712202
452,99.80725125014241,1.9983544998324567,2.9883760418199974
453,99.86388864397273,2.0004675252469997,2.9852722240240737
454,99.94838860490286,1.998185344988477,3.000248625433601
455,99.78325819497611,2.0017190838049577,2.9805917555448618
456,99.90039197094603,2.0061950781744957,2.983363815435156
457,99.8842048402715,2.0048884152283395,2.9843495373938667
458,99.99916988134525,2.005227352210637,2.993767188758064
459,99.91528499184932,1.9947901141940694,2.9959018719274906
460,99.95263320455747,2.006955481446424,2.987276451008333
461,99.7154349036322,2.000792557808541,2.9723212830434522
462,99.97188215871766,2.001348455291124,2.9949593987295167
463,99.84079540879581,2.0044372616205037,2.984311962646499
464,99.83436720884143,2.000123969877315,2.985301416863984
465,99.87610715276499,1.9973710609225683,2.99014381249896
466,99.91259014754017,1.9975740457380025,2.99404178236712
467,99.95680238200612,1.9975180836171669,2.99877863811019
468,99.99106162612813,2.0058435762781146,2.9931881991515454
469,99.64535357461538,1.9908198656187004,2.9808861719760857
470,99.96989816723149,1.9977021644578457,2.998478132901872
471,99.86561684771321,2.003929750557462,2.9846391900660683
472,99.89309328017063,1.9950410953751154,2.9961402392298537
473,99.95457163326624,2.0042262997100324,2.9921294303783927
474,99.8293527490344,1.9997859890391751,2.986015364230692
475,99.7547575573362,2.0050415350585307,2.9734504551844707
476,99.93714988735373,1.9977565577866223,2.991415468154737
477,100.02315451191255,2.0081020659471474,2.991936915914237
478,99.9274455845479,1.994575630922274,2.9977497744389
479,99.93948300909545,1.9993978058104012,2.992603630983174
480,99.62631381106583,1.9958281409648422,2.9735673901050337
481,99.82367139095813,2.0025806514776,2.980824245583857
482,100.05741167527249,1.9996503517519146,3.000497758180728
483,99.86737866096124,2.000045370239104,2.9869736959314217
484,99.93405020110956,1.9957013395537937,2.998920510692762
485,99.9480361407209,2.000258352445868,2.995095434050084
486,99.87881069053631,1.9980526099338412,2.9889069240111783
487,100.05448362193924,2.003361221132662,2.9996011866982175
488,99.93683932076071,2.0011393745454464,2.9944027741604913
489,99.94333353785646,1.997808672118255,2.9965046147577206
490,99.76757265838316,1.9970081707630674,2.9827011749316696
491,100.01908853480984,2.004551461874441,2.994293077621262
492,99.99016055811059,1.9968267974036549,2.9999364264519155
493,99.89245091019812,1.9996505835615093,2.9910402437615446
494,100.03558051903765,2.0063914875761277,2.9932591176154397
495,99.88367265081433,1.9967862277746862,2.9894233686081653
496,100.0808510321014,2.0071655841080926,2.9965078832295893
497,99.92485071483179,1.9996029537634048,2.996344098254032
498,99.82511699642946,2.0009236307906835,2.981690224678909
499,99.88382388783248,2.001252327262296,2.990096746608729
