,Vmax,Km2
209,1.185212418684713,1.2977562839967391
210,2.0039295672594353,2.4901845239687406
211,2.1193945348048464,2.657760969001553
212,2.894276967105743,3.7222226847031377
213,3.052336174786317,3.9007081544869946
214,2.262731065475588,2.80701737865656
215,1.4112438348417948,1.6599846948179178
216,2.054835483983403,2.5832779732662234
217,1.4425199733527665,1.686767556846259
218,2.034255796847721,2.562037424155061
219,1.5161055422248153,1.8214467748897583
220,1.5380136384523548,1.870657126926918
221,1.933989806275398,2.3738245223901617
222,1.1571582006381664,1.2621715712868045
223,2.0343332812427666,2.5181490196686003
224,1.8447882634710295,2.2779855867654417
225,3.196062685611787,4.162847679178662
226,1.6177576872752775,1.9100899866035688
227,1.7296251682151718,2.1043996540644945
228,1.4345540746261845,1.7037711603010184
229,2.5366873661826257,3.1956313599952786
230,1.3886735055704778,1.6113121470924414
231,2.949363219136744,3.8348824151527734
232,1.4547004825283079,1.6950582166197636
233,1.0471215058613323,1.1262756231513125
234,1.6717133894089087,2.04006609278253
235,2.3435453796143455,2.996309415335422
236,1.4936611601539558,1.7412279247268765
237,1.85833923146201,2.2889121151545986
238,1.356949848346308,1.5127816581573552
239,2.418042821531515,3.0333711531962253
240,1.6905263678403966,2.0592904873074933
241,1.3807021464228735,1.564542340965434
242,1.7068170084485548,2.0452993815505582
243,2.0527357752731055,2.537823149612631
244,1.7279552401480245,2.085592474265385
245,1.3883707579217546,1.5928616688246366
246,1.7258077644639929,2.131122822572639
247,1.8194957814027775,2.250758000190214
248,1.9560469060128414,2.404306217852567
249,1.3142564450404028,1.4843515872801785
250,1.1201584934064839,1.2460219400851853
251,1.1636330282115286,1.237454853537316
252,1.307257043332922,1.4832027902134841
253,1.7023328494328211,2.0286497297516384
254,2.3295698426422367,2.879924172052258
255,1.0692551883469603,1.1773246536524469
256,3.518190224504193,4.605490965800326
257,1.383940582369291,1.620757880137549
258,1.631492280721812,1.9760345074873449
259,1.360298062468072,1.5942777050077497
260,1.2891827944939545,1.4641697852224904
261,1.978718475732997,2.4694430385164234
262,1.3476838868441952,1.5391421038952753
263,1.417344547439294,1.633342071795808
264,1.7763998498369162,2.181902090403024
265,2.051123419437855,2.604965142519117
266,1.8653313226326937,2.2670122178016126
267,1.8211247146368117,2.213163492681718
268,1.1853232590122087,1.3802799580048937
269,1.9987356797883618,2.402706052714878
270,2.532024613158642,3.2335714164947467
271,1.3608223997142936,1.587840370727705
272,1.8335027132505315,2.2796646014490376
273,2.4895323425384968,3.1813034177125536
274,1.4427880144972276,1.729708592262504
275,1.4650911541014466,1.6737524957308438
276,1.6836540374942606,2.0287782278691404
277,2.338783984979205,2.9005485721439808
278,1.9590322156123674,2.44635876533344
279,1.541046925407526,1.7861828903823271
280,3.153870750785963,4.111655496220541
281,1.553333528281936,1.8897658008879674
282,1.2247316765490306,1.3769168977035702
283,1.849345845098577,2.2814056720367195
284,1.664962354614959,1.968243218898585
285,1.1956798200699723,1.3404962833968366
286,1.932534996051264,2.3396651878087504
287,1.5606508406175028,1.8248758259387194
288,0.973570081895354,1.0362495293340246
289,2.706937334131182,3.4609623168995305
290,3.206787401819325,4.114713555930935
291,1.230927454017523,1.3664351448241834
292,1.416428529599214,1.6155743719384246
293,1.8572114676226879,2.2451393718046826
294,1.53635515451413,1.8009787793649876
295,1.4187540944002783,1.65837873110181
296,1.5914814022710755,1.8648287595267041
297,1.2721334636365376,1.433681167009826
298,1.9317455906725696,2.352879142193044
299,1.7831696854824621,2.163231957289341
300,2.0681263363402813,2.487056592614951
301,1.842211130021839,2.2584754953787685
302,1.477646088501784,1.7211064870156925
303,2.7288271633439436,3.6002591214583237
304,1.1313799747181432,1.2688872503267683
305,1.9520369308724748,2.3820295428718565
306,1.5604944233376425,1.847655902394471
307,2.282390755612883,2.865561633214965
308,2.525241678299308,3.2530226257801163
309,1.3523056234134978,1.5532247685774718
310,1.9385137710237699,2.39811769819479
311,1.3692991794280227,1.6131927646765098
312,1.7308856150358094,2.054595995607125
313,1.7094361083746052,2.044088299504766
314,1.4300490629864804,1.6892114706713137
315,1.8467392566688359,2.214518605398846
316,2.012037411977203,2.4806445916032347
317,1.7537522473090892,2.1275097220586563
318,1.6571961569821456,2.036328511360044
319,1.2919345289917372,1.4621156029580555
320,1.618542939658041,1.96003725772495
321,1.3141887541216497,1.507268278895726
322,2.3114969428741605,2.8928027906020946
323,1.7759814099868785,2.2671165898709864
324,3.1477461589621587,4.153129148854947
325,1.9689163689444698,2.44726625655791
326,1.4312772255626447,1.6291904101926433
327,1.5863406238232096,1.89998637635496
328,1.3504162664706398,1.583678409591693
329,1.937562712080726,2.389653945605532
330,1.4213286455014067,1.6684080189592045
331,2.594497823659381,3.30709226954644
332,1.4994190277443964,1.7823319230660046
333,1.5371446710426142,1.842060346357092
334,1.7230333833057294,2.0771040592640344
335,2.7832399647478847,3.58317452352236
336,1.3127742746668785,1.5178229503979057
337,1.6424154124396126,1.9770466303065586
338,1.7868748152958536,2.201848478886168
339,1.917375629817679,2.3796982542120158
340,1.9013543292369055,2.36056255295403
341,1.3278402069810409,1.5334234240322808
342,2.611743482308324,3.2371154648853553
343,2.230048231466333,2.8793529393145985
344,1.1145012680182942,1.1811523468371334
345,1.3633838526111965,1.5572819457689926
346,1.4977112669435155,1.7637805869734948
347,1.3897236347080977,1.6171732732936128
348,1.6081773033831102,1.9332434255861375
349,1.654393083210627,1.993937099532348
350,2.1610100488182824,2.6752010327709175
351,2.374524848442819,2.925159411733378
352,1.3920955407460192,1.6139083536288508
353,1.3549562457290996,1.4962681495289538
354,1.5244583054696281,1.7542656400106076
355,1.4453545944552504,1.7073221542896948
356,1.5904182151733917,1.912091675402192
357,1.8214814372099446,2.2258810310939583
358,1.402010043232884,1.6077011061263082
359,1.3185778783137554,1.4816081053133079
360,2.2026829342650105,2.800933340294866
361,3.150837717964014,4.032176302586308
362,1.3440663952527632,1.5092426164459152
363,2.3712425703629014,3.009592622197288
364,1.455246421256611,1.7063151079890475
365,1.7850844741297043,2.1719354394223185
366,1.9139438663016706,2.315853644132421
367,1.5361050671406338,1.8205901290981208
368,1.691526133545872,2.0056215907522703
369,1.1931228062099684,1.308868750786927
370,2.586573422806529,3.3183263542776458
371,1.6064795888666317,1.8888434707902608
372,1.3112859496248617,1.5339450449116683
373,2.1765893914507495,2.681736225733851
374,1.477386882023654,1.7320789335384101
375,1.6888991670971563,2.0730698342731055
376,1.5591073357707463,1.8499285455416186
377,1.642114054166937,1.9559104991696354
378,1.3027841754129446,1.4764642531578023
379,2.1180978775694324,2.5810732449027074
380,1.7675580120111178,2.1970419194534565
381,1.9482343572989407,2.44741574852758
382,1.1737586083654108,1.2839027177033067
383,1.6606364855554767,1.9966088044540091
384,1.5805682507114107,1.9080946101914322
385,1.9676989292467497,2.4298855078549395
386,1.8795018609514773,2.2997714392884867
387,1.6368426960551827,1.9481316630520362
388,1.4355973349913411,1.6705946770058733
389,2.730683349691875,3.5749239324065236
390,1.4643786688634068,1.7178421921409537
391,2.153956908414441,2.6655612788904133
392,1.844183237523247,2.2741773713308513
393,1.5448739843084232,1.8448815631689501
394,1.3051648124152897,1.4764880799770237
395,1.9991091566497359,2.510409942299931
396,1.647116972389459,2.0331286340161356
397,1.3356518855829296,1.4964221359853371
398,1.8027308318714843,2.1915084364486597
399,2.2304241594293517,2.8392526141287258
400,1.3472679875939064,1.5091077043496712
401,1.634456507379904,1.9791909623174433
402,1.3168869358039306,1.5134794924768227
403,1.6214921931861581,1.920766621390145
404,1.6152994066438036,1.9114204574560671
405,1.4146113373858247,1.6557978037986614
406,1.3458565186361449,1.5519084269023187
407,1.578887620039477,1.8558175689725669
408,1.5762647726386576,1.9074667552766755
409,1.9945150959102875,2.4086496164452846
410,1.4233434911196952,1.6503338286930482
411,1.3804303071828685,1.5647405370132401
412,2.2494559003496173,2.8577877020896922
413,1.571686808671596,1.8779196708861319
414,1.2948760430257422,1.4814953801413888
415,1.6559879642813788,2.031067848932734
416,1.6362963758489846,1.943309635695018
417,1.4036298141702812,1.613673773078471
